Vivado Simulator 2019.1
Time resolution is 1 ps
=== START FULL HAMMING TEST ===
FAIL ERROR : data_in=0100 error_pos=0 error_detected=1
FAIL ERROR : data_in=0100 error_pos=1 error_detected=0
FAIL DATA  : data_in=0100 error_pos=2 data_out=0101
FAIL DATA  : data_in=0100 error_pos=3 data_out=0101
FAIL DATA  : data_in=0100 error_pos=4 data_out=0110
FAIL DATA  : data_in=0100 error_pos=5 data_out=0110
FAIL DATA  : data_in=0100 error_pos=6 data_out=1000
FAIL DATA  : data_in=0100 error_pos=7 data_out=1000
FAIL ERROR : data_in=0101 error_pos=0 error_detected=1
FAIL ERROR : data_in=0101 error_pos=1 error_detected=0
FAIL DATA  : data_in=0101 error_pos=2 data_out=0100
FAIL DATA  : data_in=0101 error_pos=3 data_out=0100
FAIL DATA  : data_in=0101 error_pos=4 data_out=0111
FAIL DATA  : data_in=0101 error_pos=5 data_out=0111
FAIL DATA  : data_in=0101 error_pos=6 data_out=1001
FAIL DATA  : data_in=0101 error_pos=7 data_out=1001
FAIL ERROR : data_in=0110 error_pos=0 error_detected=1
FAIL ERROR : data_in=0110 error_pos=1 error_detected=0
FAIL DATA  : data_in=0110 error_pos=2 data_out=0111
FAIL DATA  : data_in=0110 error_pos=3 data_out=0111
FAIL DATA  : data_in=0110 error_pos=4 data_out=0100
FAIL DATA  : data_in=0110 error_pos=5 data_out=0100
FAIL DATA  : data_in=0110 error_pos=6 data_out=1010
FAIL DATA  : data_in=0110 error_pos=7 data_out=1010
FAIL ERROR : data_in=0111 error_pos=0 error_detected=1
FAIL ERROR : data_in=0111 error_pos=1 error_detected=0
FAIL DATA  : data_in=0111 error_pos=2 data_out=0110
FAIL DATA  : data_in=0111 error_pos=3 data_out=0110
FAIL DATA  : data_in=0111 error_pos=4 data_out=0101
FAIL DATA  : data_in=0111 error_pos=5 data_out=0101
FAIL DATA  : data_in=0111 error_pos=6 data_out=1011
FAIL DATA  : data_in=0111 error_pos=7 data_out=1011
FAIL ERROR : data_in=1100 error_pos=0 error_detected=1
FAIL ERROR : data_in=1100 error_pos=1 error_detected=0
FAIL DATA  : data_in=1100 error_pos=2 data_out=1101
FAIL DATA  : data_in=1100 error_pos=3 data_out=1101
